County,COUNTYNS1,Yield
WAYNE,1074028,3.296864
WILLIAMS,1074099,3.30231125
WYANDOT,1074066,3.201638
AURORA,1265772,3.31051575
BEADLE,1265771,3.18422025
BON HOMME,1265775,3.17009775
BROOKINGS,1266978,3.73620825
BROWN,1265781,2.88832025
BRULE,1266985,2.45993775
BUFFALO,1265777,3.29921775
BUTTE,1265778,2.92638375
CAMPBELL,1265773,3.25940575
CHARLES MIX,1265768,3.48509675
CLARK,1266982,3.2526135
CLAY,1266973,3.11118675
CODINGTON,1265780,2.543664
CORSON,1266988,3.05066175
DAVISON,1266979,3.00318325
DAY,1265764,3.3965285
DEUEL,1266975,3.1420545
DOUGLAS,1265785,3.06249775
EDMUNDS,1265776,3.3316995
FAULK,1265789,3.246023
GRANT,1265794,2.88724425
GREGORY,1266986,2.972719
HAAKON,1266981,3.01300175
HAMLIN,1266974,1.58272875
HAND,1265791,2.5225475
HANSON,1266997,3.08347975
HUGHES,1265786,2.750525
HUTCHINSON,1265770,3.70123825
JACKSON,1266980,2.987514
JERAULD,1266983,2.5472955
JONES,1266995,3.04541625
KINGSBURY,1265769,2.54184825
LAKE,1265779,2.91199225
LINCOLN,1265767,3.200831
LYMAN,1267177,2.82107025
MARSHALL,1265761,2.6860995
MCCOOK,1265774,3.00170375
MCPHERSON,1265766,2.9134045
MELLETTE,1266972,1.6224735
MINER,1265783,3.31280225
MINNEHAHA,1266987,3.08280725
MOODY,1265760,3.2803205
PENNINGTON,1265793,3.210246
POTTER,1265762,3.50876875
ROBERTS,1266976,1.45441575
SANBORN,1265763,3.0804535
SPINK,1265790,1.94063325
SULLY,1265784,3.0411795
TRIPP,1266977,3.25362225
TURNER,1265811,3.5318355
UNION,1265765,2.64084025
WALWORTH,1265782,2.487174
YANKTON,1265759,3.208632
ADAMS,1581060,2.4421165
BARRON,1581062,2.90217375
BAYFIELD,1581063,2.74790225
BROWN,1581064,3.71011525
BUFFALO,1581065,3.48940075
BURNETT,1581066,1.608889
CALUMET,1581067,2.795717
CHIPPEWA,1581068,2.90849525
CLARK,1581069,2.6548955
COLUMBIA,1581070,2.8838145
CRAWFORD,1581071,2.931831
DANE,1581072,2.88522675
DODGE,1581073,3.6114595
DOOR,1581074,3.895927
DUNN,1581076,3.0635065
EAU CLAIRE,1581077,3.46841875
FOND DU LAC,1581079,2.98052
GRANT,1581081,3.5234965
GREEN,1581082,2.3961175
GREEN LAKE,1581083,3.20022575
IOWA,1581084,3.541923
JACKSON,1581086,3.27373
JEFFERSON,1581087,3.304665
JUNEAU,1581088,3.527397
KENOSHA,1581089,3.39982375
KEWAUNEE,1581090,3.64764
LA CROSSE,1581091,3.40520375
LAFAYETTE,1581092,3.7413865
LANGLADE,1581093,3.629617
