COUNTYNS1,NAME,Yield
1265770,Turner,3.102108
1265763,Union,3.11145575
1266973,Walworth,2.788992
1266975,Yankton,3.10997625
1581068,Chippewa,2.57164
1581069,Clark,2.6764155
1581070,Columbia,3.3187875
1581071,Crawford,3.67649025
1581072,Dane,2.17829475
1581073,Dodge,2.99040575
1581076,Dunn,2.56807575
1581077,Eau Claire,2.64796875
1581079,Fond du Lac,1.74157325
1581081,Grant,3.11522175
1581082,Green,3.064717
1581084,Iowa,2.63357725
1581086,Jackson,3.05873175
1581087,Jefferson,2.70970425
1581089,Kenosha,2.74373275
1581090,Kewaunee,2.83263725
1581092,Lafayette,2.8415815
1581095,Manitowoc,3.250058
1581096,Marathon,2.953082
1581097,Marinette,2.843868
1581098,Marquette,3.4745385
1581100,Milwaukee,2.9739295
1581101,Monroe,3.233918
1581102,Oconto,3.1600775
1581104,Outagamie,3.0971315
1581105,Ozaukee,2.930217
1581107,Pierce,3.186036
1581108,Polk,3.5692265
1581109,Portage,3.329413
1581111,Racine,3.54938775
1581112,Richland,3.00708375
1581113,Rock,3.16660075
1581114,Rusk,2.880183
1581115,Sauk,3.0987455
1581116,Sawyer,3.7112585
1581117,Shawano,2.270629
1581118,Sheboygan,2.81461425
1581119,Taylor,2.656644
1581120,Trempealeau,2.443865
1581121,Vernon,2.76444575
1581123,Walworth,2.81259675
1581124,Washburn,2.606341
1581125,Washington,2.99914825
1581126,Waukesha,2.95341825
1581127,Waupaca,3.2867765
1581128,Waushara,2.5787685
1581129,Winnebago,2.910042
1581130,Wood,2.95704975
